id_pencarian,nama_pencarian,jenjang_pencarian,pt_pencarian,pt_singkat_pencarian,id_sp,id_sms,nama_pt,kode_pt,nama_prodi,kode_prodi,kel_bidang,jenj_didik,tgl_berdiri,tgl_sk_selenggara,sk_selenggara,no_tel,no_fax,website,email,alamat,provinsi,kab_kota,kecamatan,lintang,bujur,status,akreditasi,akreditasi_internasional,status_akreditasi,detail_error
m6Yegjx9GJxc7M9HtxqYeY2BxnwS9vJfi239nKsRngMiB_If82OOOFiBv-4M4x2A8eDLnQ==,KOMPUTASI STATISTIK,D4,POLITEKNIK STATISTIKA STIS,,nX826xeaGsdausNHsc77n6FW_OPm2LK6O_zhuksb0ln-msaiC9Laht1GFgT7lC9EBs5zng==,w77QoYP3jnsf5jdHHL7rk5rbpWpiQEsVl8gBmHQpF6dUn_0lPSdJgPIrYJzo5ATl-IgPYA==,Politeknik Statistika STIS,335001  ,Komputasi Statistik,49502,MIPA,D4,2016-10-03T00:00:00Z,2016-10-03T00:00:00Z,429/KPT/I/2016,(021) 8191437,(021) 8197577,www.stis.ac.id,komputasi@stis.ac.id,,Prov. D.K.I. Jakarta,Kota Jakarta Timur,Tidak Diisi,-6.2314692,106.8667491,Aktif,Unggul,-,,
HBbiHI0cnrYt449PFQqk9BlP2pDz9_fR_yweKm1KD8jsUmwZnolBsZNFAF9SPyUozjQBtA==,STATISTIKA,D4,POLITEKNIK STATISTIKA STIS,,qzAOLMcjIcFsM-zj9lCyNJ3quXhTvamyO_Gey7epvoX0ERYULwmweKz6QH3zaHwmbiKWiQ==,4WSZuVOQzoUycM_DwaUF3JdwOf4NhGlbYBtk_MHaTk3kWE4JwLSzPrEHq9yYtCWbfj_HvQ==,Politeknik Statistika STIS,335001  ,Statistika,49501,MIPA,D4,2016-10-03T00:00:00Z,2016-10-03T00:00:00Z,429/KPT/I/2016,(021) 8191437,(021) 8197577,www.stis.ac.id,statistika@stis.ac.id,,Prov. D.K.I. Jakarta,Kota Jakarta Timur,Tidak Diisi,-6.2314692,106.8667491,Aktif,Unggul,-,,
LZRMXWWG5m_SUjM3JQwwHrg3fygKfuXJgVH82xYKzi40dgGmyQk-k-XIerJlwStm29XBTw==,STATISTIKA,D3,POLITEKNIK STATISTIKA STIS,,nDOiX4Ac0lBdFjwoPx9OmA1-4ILCsS2q7EVdJeOQQWUidzhgxlkGk0Uq_c9EwebwBbpwRQ==,puuASdC8BG6qKJU3B5sq0Y_o0F3LtWN1VHNCTgDnBCdGN7yclk9vUnVctK0kM_pu5c2zBA==,Politeknik Statistika STIS,335001  ,Statistika,49401,MIPA,D3,2016-10-03T00:00:00Z,2016-10-03T00:00:00Z,429/KPT/I/2016,(012) 8191437,(021) 8197577,www.stis.ac.id,d3-statistika@stis.ac.id ,,Prov. D.K.I. Jakarta,Kota Jakarta Timur,Tidak Diisi,-6.2314692,106.8667491,Aktif,Unggul,-,,
mytJzfZdRmRyjirgUmnhZ4uyVjuUqRSuvu5XYguWKv7j20n9JxM6lfvAf87vExgf2xDybw==,STATISTIKA,D4,SEKOLAH TINGGI ILMU STATISTIK,SEKOLAH TINGGI ILMU,P5s4f6AD7BmO90kR88Obc0o1bJsbDqo7hRVfoWAgghmdQ09pWxnWMvetf-k2Wk8R2l5lng==,FuCdB4P1eUXAaknK4LyU8Rziv37ka0IQImP_3SNbELUYCD0tR1tsMK52fj6ns6cqZ4oxfA==,Sekolah Tinggi Ilmu Statistik,333001  ,Statistika,49501,MIPA,D4,1998-02-07T00:00:00Z,1998-02-07T00:00:00Z,Perpres 163 Th 1998                     ,"(021) 8191437, 85088",(021) 8197577,www.stis.ac.id,info@stis.ac.id,Jl. Otto Iskandardinata 64C Jakarta ,Prov. D.K.I. Jakarta,Tidak Diisi,Tidak Diisi,0,0,Alih Bentuk,,-,,
QInSqWuccduKBy0OWW9oW4a9iH3ZLmnhYoSm1J0Dtp6I8865uD5_zJP6_r47_flvpmey_A==,STATISTIKA,D3,AKADEMI STATISTIKA MUHAMMADIYAH SEMARANG,AIS MUHAMMADIYAH SEM,JZM39gnHxuzNIaVFWEVgDg5Gnx2jngLS6IY-i6LsZkItrLPBVYfFMIrZ5OZQufe4ebpjtg==,XJLX9Og1G-HrAoUki-JvxjF8zh0mltAwWP1GvWRynkrBI6CWkpU_-vySkM_rgpsOgj_UDA==,Akademi Statistika Muhammadiyah Semarang,064025  ,Statistika,49401,MIPA,D3,1992-01-06T00:00:00Z,2012-10-03T00:00:00Z,13157/D/T/K-VI/2012                     ,0247608786          ,0247619177,www.aismuh.ac.id,akademi.statistika@aismuh.ac.id,JL. PROF. DR. HAMKA KM. 01(NGALIAN) TAMBAK AJI SEMARANG                         ,Prov. Jawa Tengah,Kota Semarang,Tidak Diisi,0,0,Alih Bentuk,,-,,
UESv1q4dSAlkeJCXCTs0zHoYRImby2Ut3S8sf3LI0NLjJfi7dmyQ2_H9MYGV4bEg_BIEQQ==,KOMPUTASI STATISTIKA,D4,SEKOLAH TINGGI ILMU STATISTIK,SEKOLAH TINGGI ILMU,FSquFdUY-FXDF_MgIupwkaAk_0iQIfAHKMU14YKD6XJfGYMuJsaqcxX4R1qvS2hKqcnHUw==,1oKiM_h5a7878L7WqOfGwh9GH3Cqqwmi8kyuUVkNiuNc9TOp9NMk8-qOPYoaLm5uFi0XHQ==,Sekolah Tinggi Ilmu Statistik,333001  ,Komputasi Statistika,49502,MIPA,D4,1998-02-07T00:00:00Z,1998-02-07T00:00:00Z,Perpres 163 Th 1998                     ,"(021) 8191437, 85088",(021) 8197577,www.stis.ac.id,info@stis.ac.id,Jl. Otto Iskandardinata 64C Jakarta,Prov. D.K.I. Jakarta,Tidak Diisi,Tidak Diisi,0,0,Alih Bentuk,,-,,
7X62gci1zWEhfhmOkHbWOaQdb6u0_ujW07ZdSlYoUO9kbG6viHr1IwN4WsSOusNq3dAi7g==,STATISTIKA,S1,UNIVERSITAS MATANA,,zoIouLCERZ3RB-97TQoZpZhoid9Srq1EVojnrKc1VaHFy5WelWcnn2-dEEXKewIqMyL-tw==,2SIqnfqwNsUeo7iVHPUrgnbHr2LRZuLkUeWIKB0WZLpaOhY7m1ao4bG1d0vf2JwOevzmDg==,Universitas Matana,041116  ,Statistika,49201,MIPA,S1,2014-08-13T00:00:00Z,2014-08-13T00:00:00Z,331/E/O/2014,,,,,,Prov. Banten,Kab. Tangerang,Tidak Diisi,0,0,Aktif,Baik Sekali,-,,
y75oBI7la3Sv1vqFBh6oFx8SOuQH9GEVtiSsxsj9Eg0tsBZ02G5muFk_f5H1j_jjm5JBlA==,STATISTIKA,S1,UNIVERSITAS MATANA,,oaysxp0Db8efefh0MQH_giiPqjcB2CAXEmMw89PIvl-iKqaZcge7r6yD9uYTMvP6N4czFA==,IEiZlIIqCCAc8fQAQLcvbmM5_9PJzgH7fKWOX4FKObxLmHx06XzJUvLNBQzbTJhKyY-TfQ==,Universitas Matana,031060  ,Statistika,49201,MIPA,S1,2014-08-13T00:00:00Z,2014-08-13T00:00:00Z,331/E/O/2014,(021) 2923 2999,(021) 2941 8999,matanauniversity.ac.id,info@matanauniversity.ac.id, ,Prov. Banten,Kota Tangerang,Tidak Diisi,0,0,Alih Bentuk,,-,,
DP7O5Uj9GAg06rsl_9Ym224Kqo6HjPm_DZURqxim8v48GJ04yuCla8zCRGxnQpJzdMeObA==,STATISTIKA,D3,INSTITUT TEKNOLOGI STATISTIKA DAN BISNIS MUHAMMADIYAH SEMARANG,ITESA MUHAMMADIYAH,lzIA11dS7zMxOk7YxGTb4_KVAqeGEnES7whewEztPHNoj-kTaZU5CBFU4tVJrOVFvasQZQ==,8x1kbpQT-oDHb7c3DBj--Y0YqRsGhLPIPum13NfJVfMadkb8sLCCrP6ZcVEhFft0E68h4A==,Institut Teknologi Statistika dan Bisnis Muhammadiyah Semarang,062010  ,Statistika,49401,MIPA,D3,2021-07-26T00:00:00Z,2021-07-26T00:00:00Z,347/E/O/2021,,,,,,Prov. Jawa Tengah,Kota Semarang,Tidak Diisi,0,0,Aktif,Unggul,-,,
B6aofZl8FPR_bH8d8GNUJ1r7TfRdTU_LeHwn2uUU1_KxkP0uC6LEVp7vUwW82upLwQstGg==,STATISTIKA,S1,UNIVERSITAS PATTIMURA,UNPATTI,2QPLBSReG3C4fAOUAmazYIejMssJ7d4dFBMlEGklmDTz43z4oGlscYnI6ATZVS_X40vGZQ==,Venzf-MaaYvxGHAfdNRyyck3WDo2sT4XRpR16bRfFBv5J3Bl90OFDNWypU5EQNhizrtmMw==,Universitas Pattimura,001021  ,Statistika,49201,MIPA,S1,2018-02-02T00:00:00Z,2018-02-02T00:00:00Z,117/KPT/I/2018,0911-316015,0911-316015,https://s1stat.fmipa.unpatti.ac.id ,statmipaunpatti@gmail.com,,Prov. Maluku,Kota Ambon,Kec. Teluk Ambon,-3.653156,128.192913,Aktif,Baik Sekali,-,,
